uid,query,,,,
876344652759042 ,47.8.86.214,, ,,
876785444782081 ,37.111.233.134,,,,
877612299714562 ,119.30.39.200, ,,,
877698189099010 ,157.36.215.47, ,,,
878171164442626 ,178.61.143.171,,,,
878267167145986 ,47.8.170.68,, ,,
878449064443906 ,47.247.72.14,,,,
878450271092737 ,27.59.194.103, ,,,
878455468195843 ,223.231.71.18, ,,,
878528297861123 ,119.30.45.97,,,,
878580712374275 ,47.247.63.131, ,,,
878672582901763 ,103.57.123.150,,,,
878816942325763 ,27.63.175.91,,,,
878881855537155 ,157.36.240.242,,,,
879144704376835 ,157.42.32.166, ,,,
879332141727747 ,27.59.42.110,,,,
879850433118210 ,157.39.235.247,,,,
880168894267393 ,42.108.12.186, ,,,
880440543051777 ,42.110.139.171,,,,
880689542234113 ,157.37.47.167, ,,,
880716536479745 ,223.237.18.110,,,,
880892284928001 ,37.111.7.103,,,,
881530265731074 ,27.97.142.169, ,,,
881576571469825 ,137.97.90.151, ,,,
882011186200578 ,157.34.44.82,,,,
882212017635329 ,106.76.83.155, ,,,
882216349696001 ,47.29.66.228,,,,
882249576316930 ,47.247.219.22, ,,,
882254069366785 ,49.34.134.83,,,,
882456185176065 ,42.108.206.239,,,,
882726137462786 ,188.71.227.124,,,,
883174455214082 ,112.79.146.34, ,,,
883482926645250 ,47.8.245.79,, ,,
884128654262273 ,157.35.238.199,,,,
884139835654146 ,42.111.32.114, ,,,
884273604952065 ,47.29.66.98,, ,,
884280042323970 ,49.35.250.16,,,,
884962872786947 ,157.37.172.79, ,,,
885220702748675 ,37.39.177.224, ,,,
885249073217539 ,89.148.42.97,,,,
885479114145795 ,139.167.239.252 ,,,,
885583231254531 ,106.204.109.31,,,,
885619260325891 ,27.60.208.161, ,,,
885749360656387 ,157.34.126.169,,,,
886047762776067 ,157.33.175.190,,,,
886073403408386 ,223.181.121.16,,,,
886126821834754 ,171.76.129.36, ,,,
886197593341954 ,42.106.43.176, ,,,
886377076326403 ,188.70.60.8,, ,,
886434160640003 ,157.37.203.215,,,,
886583816486914 ,157.48.121.110,,,,
886615520411649 ,139.167.168.111 ,,,,
886668849545218 ,130.193.211.159 ,,,,
886855769587713 ,37.39.142.157, ,,,
886858937073665 ,27.97.79.144,,,,
886992885186561 ,106.76.76.227, ,,,
887010041856003 ,171.76.202.23, ,,,
887081400008705 ,103.228.156.9, ,,,
887845803360257 ,47.15.42.28,, ,,
888282929102851 ,139.167.199.213 ,,,,
888496687906819 ,223.188.103.109 ,,,,
888547822698498 ,106.193.194.193 ,,,,
888760516247555 ,1.186.37.148,,,,
888885853618178 ,106.213.172.95,,,,
889388312395779 ,49.34.71.23,, ,,
889409537867778 ,109.161.164.117 ,,,,
889511789330435 ,31.203.99.245, ,,,
889724591112194 ,157.42.44.157, ,,,
889968625287170 ,223.179.209.72,,,,
890101907062787 ,106.219.5.180, ,,,
890106447724547 ,157.48.253.1,,,,
890149332221954 ,109.161.166.47,,,,
890368989888514 ,42.111.9.234,,,,
890486759489538 ,47.247.21.84,,,,
890559627493379 ,111.88.245.76, ,,,
890649462571011 ,42.110.141.161,,,,
890924897566723 ,106.204.244.232 ,,,,
890927908945923 ,106.193.204.110 ,,,,
890974931288066 ,47.29.92.100,,,,
891059417513986 ,157.37.135.118,,,,
891340874448897 ,1.39.143.154,,,,
891431080460289 ,47.247.121.117,,,,
891438180794369 ,106.66.43.41,,,,
891449684361219 ,202.70.74.210, ,,,
891536074702851 ,157.37.197.229,,,,
891553826635777 ,106.79.60.239, ,,,
891702367453185 ,1.187.253.132, ,,,
891824378806275 ,47.9.173.167,,,,
891859806617603 ,157.34.27.161, ,,,
891963977334787 ,42.108.1.164,,,,
892025238781955 ,49.15.5.97,,,,
892058152632323 ,106.207.96.11, ,,,
892187552317443 ,49.34.112.136, ,,,
892228773183491 ,49.35.16.16,, ,,
892228804083715 ,157.51.134.235,,,,
892402911739907 ,49.35.223.28,,,,
892433558241283 ,27.57.222.58,,,,
892435170525187 ,37.39.251.171, ,,,
892513538244611 ,157.35.241.222,,,,
892585829072899 ,49.34.111.109, ,,,
892667808940035 ,106.192.199.107 ,,,,
892699531542530 ,157.44.147.139,,,,
892982750969857 ,157.34.63.46,,,,
893082734460929 ,42.106.24.29,,,,
893154084847617 ,157.49.83.244, ,,,
893259567628289 ,157.34.4.33,, ,,
893304876892162 ,47.247.202.128,,,,
893389470433282 ,47.247.225.182,,,,
893456294543362 ,106.79.60.239, ,,,
893536948781058 ,106.207.251.41,,,,
893580977373186 ,42.106.44.35,,,,
893610408050690 ,42.106.45.70,,,,
893656862031873 ,42.106.209.168,,,,
893715120455682 ,106.204.16.220,,,,
893720938676225 ,106.79.232.26, ,,,
893827129081858 ,176.224.170.218 ,,,,
893904265543682 ,157.35.238.55, ,,,
894125011599361 ,42.106.32.71,,,,
894327746297858 ,157.39.157.1,,,,
894499064217601 ,47.8.232.217,,,,
894501486264321 ,223.228.14.165,,,,
894662315540482 ,157.37.194.169,,,,
894725223219201 ,47.9.179.170,,,,
894753498595330 ,183.83.249.138,,,,
894823323009025 ,37.231.218.248,,,,
894831428665347 ,42.106.19.87,,,,
895001221496834 ,223.237.143.79,,,,
895024601530371 ,37.39.209.115, ,,,
895221866790914 ,117.228.86.178,,,,
895256070488066 ,49.14.206.111, ,,,
895346317099011 ,27.97.44.250,,,,
895524496179203 ,49.34.186.211, ,,,
895920989208579 ,157.49.231.28, ,,,
896248424660993 ,106.79.182.191,,,,
896524284919810 ,47.29.38.245,,,,
896546259501058 ,157.37.64.169, ,,,
896710710001666 ,27.97.70.236,,,,
896721948770305 ,223.238.109.92,,,,
896991226462210 ,49.34.145.129, ,,,
897132238569474 ,106.192.212.163 ,,,,
897240648581122 ,47.11.5.1,,, ,
897287430012930 ,49.34.126.131, ,,,
897311030542338 ,49.14.35.42,, ,,
897374360862722 ,106.204.141.251 ,,,,
897395853918210 ,157.48.218.181,,,,
897425657397250 ,94.128.85.236, ,,,
897467114455042 ,47.11.153.115, ,,,
897611178704898 ,223.184.209.4, ,,,
897778738790402 ,27.59.170.35,,,,
897807955951618 ,157.48.23.225, ,,,
897819652620290 ,188.71.249.132,,,,
897827735339010 ,47.11.207.221, ,,,
897916189310978 ,157.48.215.4,,,,
898121707290626 ,106.192.26.177,,,,
898247879163906 ,157.37.247.253,,,,
898292324761602 ,47.29.159.117, ,,,
898369689911299 ,157.32.63.96,,,,
898375254867971 ,223.233.23.180,,,,
898388450476034 ,157.41.211.17, ,,,
898698624663554 ,42.106.3.208,,,,
898770090917891 ,47.11.21.192,,,,
898795711037442 ,27.59.220.206, ,,,
898860967133186 ,106.203.11.21, ,,,
898890288791554 ,49.35.251.237, ,,,
898925600800770 ,49.34.163.158, ,,,
898939311587331 ,157.39.176.163,,,,
898965264891907 ,35.198.252.216,,,,
899114673012739 ,157.39.210.43, ,,,
899367789985794 ,157.33.133.175,,,,
899426780151810 ,47.29.52.109,,,,
899433122234371 ,223.188.165.23,,,,
899836290105346 ,49.15.182.36,,,,
899890952732674 ,47.8.249.66,, ,,
899924245544962 ,49.34.156.160, ,,,
899930238681090 ,139.167.190.224 ,,,,
899999334465538 ,106.78.65.163, ,,,
900120025333762 ,49.35.246.71,,,,
900183336091650 ,49.35.255.206, ,,,
900241752621058 ,27.97.46.177,,,,
900256181059587 ,47.8.15.253,, ,,
900342198140930 ,106.192.4.179, ,,,
900355166339074 ,47.29.130.227, ,,,
900363909595139 ,42.108.60.55,,,,
900499257229315 ,103.251.189.138 ,,,,
900717302775811 ,47.31.137.137, ,,,
900773170118659 ,112.79.147.8,,,,
900884685651971 ,157.38.242.118,,,,
901067330486275 ,157.44.192.60, ,,,
901098199678978 ,205.253.163.128 ,,,,
901101321584643 ,157.37.228.135,,,,
901154758393859 ,157.32.3.186,,,,
901281969274882 ,157.32.89.79,,,,
901493095432195 ,157.37.218.168,,,,
901507061252098 ,47.29.103.186, ,,,
901524378058754 ,157.37.162.79, ,,,
901587393216514 ,119.2.118.119, ,,,
901714162253827 ,188.70.45.199, ,,,
901762734522371 ,106.66.140.41, ,,,
902118840041474 ,42.108.221.115,,,,
